DATE,PM2.5
23-10-2023,161
24-10-2023,163
25-10-2023,166
26-10-2023,143
27-10-2023,132
28-10-2023,151
29-10-2023,146
30-10-2023,151
31-10-2023,157
01-11-2023,159
02-11-2023,156
03-11-2023,161
04-11-2023,159
05-11-2023,162
06-11-2023,163
07-11-2023,160
08-11-2023,129
09-11-2023,129
10-11-2023,96
11-11-2023,136
12-11-2023,171
13-11-2023,198
14-11-2023,175
15-11-2023,179
16-11-2023,175
17-11-2023,167
18-11-2023,170
19-11-2023,158
20-11-2023,155
21-11-2023,162
22-11-2023,159
23-11-2023,160
24-11-2023,147
25-11-2023,138
26-11-2023,114
27-11-2023,80
28-11-2023,106
29-11-2023,154
30-11-2023,160
01-12-2023,168
02-12-2023,161
03-12-2023,158
04-12-2023,151
05-12-2023,156
06-12-2023,163
07-12-2023,128
08-12-2023,140
09-12-2023,145
10-12-2023,138
11-12-2023,138
12-12-2023,132
13-12-2023,141
14-12-2023,150
15-12-2023,146
16-12-2023,146
17-12-2023,158
18-12-2023,158
19-12-2023,159
20-12-2023,153
21-12-2023,164
22-12-2023,180
23-12-2023,173
24-12-2023,172
25-12-2023,167
26-12-2023,186
27-12-2023,178
28-12-2023,209
29-12-2023,185
30-12-2023,184
31-12-2023,171
01-07-2023,29
02-07-2023,27
03-07-2023,29
04-07-2023,26
05-07-2023,36
06-07-2023,14
07-07-2023,22
08-07-2023,45
09-07-2023,31
10-07-2023,28
11-07-2023,29
12-07-2023,31
13-07-2023,34
14-07-2023,31
15-07-2023,30
16-07-2023,20
17-07-2023,13
18-07-2023,20
19-07-2023,34
20-07-2023,37
21-07-2023,27
22-07-2023,27
23-07-2023,19
24-07-2023,27
25-07-2023,28
26-07-2023,16
27-07-2023,19
28-07-2023,24
29-07-2023,28
30-07-2023,23
31-07-2023,26
01-08-2023,23
03-08-2023,48
04-08-2023,54
05-08-2023,47
07-08-2023,43
08-08-2023,39
09-08-2023,31
10-08-2023,34
11-08-2023,33
12-08-2023,31
13-08-2023,28
14-08-2023,25
15-08-2023,22
16-08-2023,23
17-08-2023,23
18-08-2023,19
19-08-2023,26
20-08-2023,26
21-08-2023,23
22-08-2023,21
23-08-2023,16
25-08-2023,11
26-08-2023,11
27-08-2023,18
28-08-2023,27
29-08-2023,29
30-08-2023,46
31-08-2023,57
01-09-2023,51
02-09-2023,50
03-09-2023,56
04-09-2023,58
05-09-2023,55
06-09-2023,49
07-09-2023,54
08-09-2023,46
09-09-2023,30
10-09-2023,17
11-09-2023,27
12-09-2023,32
13-09-2023,29
14-09-2023,41
15-09-2023,41
16-09-2023,21
17-09-2023,23
18-09-2023,29
19-09-2023,37
20-09-2023,35
21-09-2023,30
22-09-2023,47
23-09-2023,54
24-09-2023,54
25-09-2023,43
26-09-2023,58
27-09-2023,75
28-09-2023,113
29-09-2023,105
30-09-2023,85
01-04-2023,74
02-04-2023,66
03-04-2023,63
04-04-2023,63
05-04-2023,80
06-04-2023,101
07-04-2023,120
08-04-2023,139
09-04-2023,146
10-04-2023,130
11-04-2023,96
12-04-2023,103
13-04-2023,114
14-04-2023,88
15-04-2023,84
16-04-2023,72
17-04-2023,80
18-04-2023,102
19-04-2023,116
20-04-2023,73
21-04-2023,56
22-04-2023,49
23-04-2023,55
24-04-2023,68
25-04-2023,86
26-04-2023,74
27-04-2023,67
28-04-2023,52
29-04-2023,60
30-04-2023,50
01-05-2023,52
02-05-2023,51
03-05-2023,54
04-05-2023,66
05-05-2023,64
06-05-2023,61
07-05-2023,62
08-05-2023,58
09-05-2023,68
10-05-2023,92
11-05-2023,110
12-05-2023,108
13-05-2023,75
14-05-2023,40
15-05-2023,68
16-05-2023,62
17-05-2023,54
18-05-2023,52
19-05-2023,51
20-05-2023,51
21-05-2023,47
22-05-2023,53
23-05-2023,41
24-05-2023,36
25-05-2023,35
26-05-2023,40
27-05-2023,35
28-05-2023,28
29-05-2023,32
30-05-2023,41
31-05-2023,43
01-06-2023,39
02-06-2023,29
03-06-2023,9
04-06-2023,17
05-06-2023,25
06-06-2023,44
07-06-2023,37
08-06-2023,33
09-06-2023,21
10-06-2023,28
11-06-2023,51
12-06-2023,50
13-06-2023,43
14-06-2023,43
15-06-2023,38
16-06-2023,38
17-06-2023,38
18-06-2023,40
19-06-2023,42
20-06-2023,50
21-06-2023,49
22-06-2023,47
23-06-2023,35
24-06-2023,38
25-06-2023,41
26-06-2023,37
27-06-2023,31
28-06-2023,28
29-06-2023,20
30-06-2023,18
02-01-2023,170
03-01-2023,175
04-01-2023,173
05-01-2023,181
06-01-2023,176
07-01-2023,173
08-01-2023,164
09-01-2023,131
10-01-2023,151
11-01-2023,174
12-01-2023,153
13-01-2023,130
14-01-2023,152
15-01-2023,169
16-01-2023,175
17-01-2023,198
18-01-2023,225
19-01-2023,244
20-01-2023,206
21-01-2023,165
22-01-2023,110
23-01-2023,93
24-01-2023,162
25-01-2023,169
26-01-2023,182
27-01-2023,184
28-01-2023,172
29-01-2023,158
30-01-2023,157
31-01-2023,171
01-02-2023,167
02-02-2023,168
03-02-2023,176
04-02-2023,188
05-02-2023,195
06-02-2023,172
07-02-2023,122
08-02-2023,164
09-02-2023,166
10-02-2023,154
11-02-2023,134
12-02-2023,152
13-02-2023,113
14-02-2023,144
15-02-2023,157
16-02-2023,148
17-02-2023,154
18-02-2023,149
19-02-2023,152
20-02-2023,158
21-02-2023,152
22-02-2023,114
23-02-2023,154
24-02-2023,156
25-02-2023,152
26-02-2023,165
27-02-2023,152
28-02-2023,149
01-03-2023,152
02-03-2023,172
03-03-2023,195
04-03-2023,201
05-03-2023,186
06-03-2023,171
07-03-2023,124
08-03-2023,145
09-03-2023,132
10-03-2023,119
11-03-2023,144
12-03-2023,164
13-03-2023,170
14-03-2023,167
15-03-2023,148
16-03-2023,133
17-03-2023,135
18-03-2023,119
19-03-2023,83
20-03-2023,64
21-03-2023,74
22-03-2023,79
23-03-2023,68
24-03-2023,64
25-03-2023,64
26-03-2023,78
27-03-2023,85
28-03-2023,90
29-03-2023,85
30-03-2023,70
31-03-2023,60
01-10-2022,69
02-10-2022,35
03-10-2022,50
04-10-2022,73
05-10-2022,89
06-10-2022,41
07-10-2022,58
08-10-2022,44
09-10-2022,34
10-10-2022,62
11-10-2022,69
12-10-2022,80
13-10-2022,92
14-10-2022,88
15-10-2022,91
16-10-2022,102
17-10-2022,96
18-10-2022,74
19-10-2022,77
20-10-2022,101
21-10-2022,114
22-10-2022,96
23-10-2022,137
24-10-2022,151
25-10-2022,228
26-10-2022,167
27-10-2022,148
28-10-2022,137
29-10-2022,134
30-10-2022,124
31-10-2022,133
01-11-2022,153
02-11-2022,158
03-11-2022,142
04-11-2022,138
05-11-2022,139
06-11-2022,146
07-11-2022,153
08-11-2022,160
09-11-2022,162
10-11-2022,152
11-11-2022,154
12-11-2022,157
13-11-2022,156
14-11-2022,168
15-11-2022,174
16-11-2022,165
17-11-2022,145
18-11-2022,114
19-11-2022,136
20-11-2022,134
21-11-2022,145
22-11-2022,164
23-11-2022,164
24-11-2022,168
25-11-2022,171
26-11-2022,180
27-11-2022,179
28-11-2022,157
29-11-2022,160
30-11-2022,171
01-12-2022,180
02-12-2022,178
03-12-2022,175
04-12-2022,179
05-12-2022,186
06-12-2022,187
07-12-2022,188
08-12-2022,178
09-12-2022,140
10-12-2022,153
11-12-2022,161
12-12-2022,149
13-12-2022,136
14-12-2022,116
15-12-2022,123
16-12-2022,150
17-12-2022,148
18-12-2022,152
19-12-2022,136
20-12-2022,148
21-12-2022,166
22-12-2022,174
23-12-2022,165
24-12-2022,137
25-12-2022,166
26-12-2022,175
27-12-2022,186
28-12-2022,187
29-12-2022,181
30-12-2022,180
31-12-2022,152
01-01-2023,154
01-07-2022,57
02-07-2022,60
03-07-2022,47
04-07-2022,45
05-07-2022,39
06-07-2022,42
07-07-2022,51
08-07-2022,55
09-07-2022,52
10-07-2022,49
