DATE,PM2.5
31-10-2023,167
01-11-2023,163
02-11-2023,173
03-11-2023,187
04-11-2023,160
05-11-2023,181
06-11-2023,188
07-11-2023,203
08-11-2023,219
09-11-2023,247
10-11-2023,262
11-11-2023,253
12-11-2023,258
13-11-2023,175
14-11-2023,171
15-11-2023,156
16-11-2023,153
17-11-2023,77
18-11-2023,96
19-11-2023,128
20-11-2023,151
21-11-2023,187
22-11-2023,229
23-11-2023,253
24-11-2023,264
25-11-2023,208
26-11-2023,179
27-11-2023,211
28-11-2023,173
29-11-2023,214
30-11-2023,205
01-12-2023,153
02-12-2023,169
06-12-2023,173
07-12-2023,114
08-12-2023,103
09-12-2023,186
10-12-2023,210
11-12-2023,197
12-12-2023,225
13-12-2023,203
14-12-2023,219
15-12-2023,279
16-12-2023,246
17-12-2023,259
18-12-2023,243
19-12-2023,231
20-12-2023,213
21-12-2023,200
22-12-2023,234
23-12-2023,210
24-12-2023,229
25-12-2023,322
26-12-2023,209
27-12-2023,221
28-12-2023,228
29-12-2023,211
30-12-2023,215
31-12-2023,207
03-07-2023,79
04-07-2023,51
05-07-2023,26
06-07-2023,33
07-07-2023,43
08-07-2023,49
09-07-2023,68
10-07-2023,76
11-07-2023,56
12-07-2023,43
13-07-2023,32
14-07-2023,66
15-07-2023,52
16-07-2023,53
17-07-2023,46
18-07-2023,43
19-07-2023,35
20-07-2023,28
21-07-2023,30
24-07-2023,45
25-07-2023,34
26-07-2023,34
27-07-2023,39
28-07-2023,38
29-07-2023,51
30-07-2023,58
31-07-2023,88
01-08-2023,64
02-08-2023,34
03-08-2023,67
04-08-2023,74
05-08-2023,79
06-08-2023,88
07-08-2023,89
08-08-2023,111
09-08-2023,133
10-08-2023,139
11-08-2023,122
12-08-2023,114
13-08-2023,105
14-08-2023,127
15-08-2023,144
16-08-2023,127
17-08-2023,111
18-08-2023,64
19-08-2023,42
21-08-2023,74
22-08-2023,85
23-08-2023,80
24-08-2023,75
25-08-2023,84
26-08-2023,101
27-08-2023,129
28-08-2023,157
29-08-2023,163
30-08-2023,163
31-08-2023,155
01-09-2023,157
02-09-2023,137
03-09-2023,112
04-09-2023,65
05-09-2023,49
06-09-2023,41
07-09-2023,38
08-09-2023,54
09-09-2023,61
11-09-2023,64
12-09-2023,74
13-09-2023,52
14-09-2023,43
15-09-2023,58
16-09-2023,65
17-09-2023,67
18-09-2023,74
19-09-2023,38
20-09-2023,50
21-09-2023,59
22-09-2023,62
23-09-2023,61
24-09-2023,67
25-09-2023,73
26-09-2023,67
27-09-2023,87
28-09-2023,113
29-09-2023,138
30-09-2023,70
01-04-2023,102
02-04-2023,98
03-04-2023,119
04-04-2023,102
05-04-2023,120
06-04-2023,150
07-04-2023,149
08-04-2023,160
09-04-2023,159
10-04-2023,165
11-04-2023,165
12-04-2023,151
13-04-2023,156
14-04-2023,156
15-04-2023,163
