DATE,PM2.5,City, PM10, O3, NO2, SO2, CO
03-04-2024,136,Kolkata,,,,,
04-04-2024,122,Kolkata,,,,,
05-04-2024,127,Kolkata,,,,,
06-04-2024,148,Kolkata,,,,,
07-04-2024,138,Kolkata,,,,,
08-04-2024,130,Kolkata,,,,,
09-04-2024,137,Kolkata,,,,,
10-04-2024,168,Kolkata,,,,,
11-04-2024,175,Kolkata,,,,,
12-04-2024,155,Kolkata,,,,,
13-04-2024,162,Kolkata,,,,,
14-04-2024,154,Kolkata,,,,,
15-04-2024,157,Kolkata,,,,,
16-04-2024,138,Kolkata,,,,,
17-04-2024,153,Kolkata,,,,,
18-04-2024,131,Kolkata,,,,,
19-04-2024,140,Kolkata,,,,,
20-04-2024,118,Kolkata,,,,,
21-04-2024,109,Kolkata,,,,,
22-04-2024,132,Kolkata,,,,,
23-04-2024,121,Kolkata,,,,,
24-04-2024,141,Kolkata,,,,,
25-04-2024,134,Kolkata,,,,,
26-04-2024,119,Kolkata,,,,,
27-04-2024,114,Kolkata,,,,,
28-04-2024,121,Kolkata,,,,,
29-04-2024,150,Kolkata,,,,,
30-04-2024,129,Kolkata,,,,,
01-05-2024,131,Kolkata,,,,,
02-05-2024,116,Kolkata,,,,,
03-05-2024,113,Kolkata,,,,,
04-05-2024,97,Kolkata,,,,,
05-05-2024,93,Kolkata,,,,,
06-05-2024,74,Kolkata,,,,,
07-05-2024,62,Kolkata,,,,,
08-05-2024,53,Kolkata,,,,,
09-05-2024,71,Kolkata,,,,,
10-05-2024,74,Kolkata,,,,,
11-05-2024,67,Kolkata,,,,,
12-05-2024,88,Kolkata,,,,,
13-05-2024,90,Kolkata,,,,,
14-05-2024,81,Kolkata,,,,,
15-05-2024,80,Kolkata,,,,,
16-05-2024,63,Kolkata,,,,,
17-05-2024,58,Kolkata,,,,,
18-05-2024,84,Kolkata,,,,,
19-05-2024,77,Kolkata,,,,,
20-05-2024,46,Kolkata,,,,,
21-05-2024,70,Kolkata,,,,,
22-05-2024,53,Kolkata,,,,,
23-05-2024,50,Kolkata,,,,,
24-05-2024,63,Kolkata,,,,,
25-05-2024,72,Kolkata,,,,,
26-05-2024,29,Kolkata,,,,,
27-05-2024,27,Kolkata,,,,,
28-05-2024,95,Kolkata,,,,,
29-05-2024,104,Kolkata,,,,,
30-05-2024,87,Kolkata,,,,,
31-05-2024,89,Kolkata,,,,,
01-06-2024,76,Kolkata,,,,,
